회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)광무,029480,2010/12,1996/08/27,,,,,,
(주)광주신세계,037710,2000/12,2002/02/07,,,,,,
(주)광주신세계,037710,2001/12,2002/02/07,,,,,,
(주)광주신세계,037710,2002/12,2002/02/07,,,,,,
(주)광주신세계,037710,2003/12,2002/02/07,,,,,,
(주)광주신세계,037710,2004/12,2002/02/07,,,,,,
(주)광주신세계,037710,2005/12,2002/02/07,,,,,,
(주)광주신세계,037710,2006/12,2002/02/07,,,,,,
(주)광주신세계,037710,2007/12,2002/02/07,,,,,,
(주)광주신세계,037710,2008/12,2002/02/07,,,,,,
(주)광주신세계,037710,2009/12,2002/02/07,,,,,,
(주)광주신세계,037710,2010/12,2002/02/07,,,,,,
(주)구영테크,053270,2000/12,2002/02/07,,,,,,
